Addr,Lat,Lon
"54.2nd Main,Masjid Street, Kaisarnagar,R T Nagar,Bangalore,Karnataka,560032",13.0074486,77.5930427
"#469 EWS 707 CHS Gomathi Nilaya,3rd Main,4th cross ,nan,Bangalore,Karnataka,560064",12.9028429,77.6898884
"Near Old Khidwali Nursery school Shimoga,K.R.Poram Road,nan,Shimoga,Karanataka,577202",29.0100045,76.5806097
"139,Adarsh serenity,Kannamangala,Bhudigere cross - hofarm,Bangalore,Karanataka,560067",13.030201,77.7632073
"0-9,Doddakamanahalli,HULIMAVD,Banglore,Karnataka,560076",12.8496672,77.5999347
"#8,5th Cross,Malleshwaram,Banglore,Karnataka,560003",12.9968666,77.5736396
"#204,Hadagur Road,Forum Value Mall,Banglore,Karnataka,560066",12.9596271,77.7479488
"#204,Hadagur Road,Forum Value Mall,Banglore,Karnataka,560066",12.9596271,77.7479488
"#204,Hadagur Road,Forum Value Mall,Banglore,Karnataka,560066",12.9596271,77.7479488
"3rd Floor,mohertersa road,Austin Town,Banglore,Karnataka,560047",12.9616307,77.614206
"nan,Urban Kuteer,R R Nagar,Banglore,Karnataka,560098",12.9306083,77.5116449
"#1039,Ashok Nagar,Banglore,Banglore,Karnataka,560050",12.9369685,77.5608672
"DS - Mar Sterling,70/1 Rajbhvn Rad,Varthur,Bangalroe,Karnataka,560087",12.9415788,77.7506736
"#160 Balagi Layout,Byadarahalli magadi Raod,-,Bangalroe,Karnataka,560091",12.985278,77.479069
"12/1,9th A main,BTM Laoyout,Bangalroe,Karnataka,560029",12.9168972,77.6052333
"819 1st cross mmuniyappa,Dinnur Main raod,R.T Nagar,Bangalroe,Karnataka,560032",13.0241022,77.5981842
"1900-04-16 00:00:00,6th Main road,Jayanagar,Bangalroe,Karnataka,560011",12.9263843,77.5811354
"J Block 4th 402,Doddaballapur Road,Manasandra,Bangalroe,Karnataka,nan",13.1993646,77.5617449
"27/1,Harkis,Beson town,Bangalroe,Karnataka,-",12.999084,77.606885
"1900-04-25 00:00:00,Astin town,-,Bangalroe,Karnataka,560047",12.9587681,77.6159946
